car_id,detection_time,sensor,cubic_capacity,sighting_id
TILX0000637961,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
SHPX0000464447,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6224.0,1194823
TILX0000638673,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
CRDX0000015022,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6300.0,1194823
TILX0000637919,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
TILX0000638267,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
TILX0000637970,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
TILX0000636043,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
TILX0000637771,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
TILX0000638250,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
TILX0000642498,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
TILX0000638800,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
TILX0000640444,2024-01-02 03:15:55.838000+00:00,"Phelan, BC",6351.0,1194823
DCLX0000008162,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6245.0,1195356
DOWX0000060828,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6241.0,1195356
CCBX0000071417,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6221.0,1195356
CCBX0000072632,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6221.0,1195356
DOWX0000068549,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6224.0,1195356
DOWX0000060195,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6241.0,1195356
CCBX0000073446,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6221.0,1195356
DOWX0000069260,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6224.0,1195356
CCBX0000071991,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6221.0,1195356
DOWX0000069956,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6224.0,1195356
DOWX0000066296,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6224.0,1195356
CCBX0000071037,2024-01-02 08:41:11.875000+00:00,"Phelan, BC",6270.0,1195356
