date,car_count,filled_count,un1170_count,un1987_count,total_gallons,un1170_gallons,un1987_gallons,total_barrels,un1170_barrels,un1987_barrels,car_count_7d_avg,car_count_14d_avg,car_count_30d_avg,un1170_count_7d_avg,un1170_count_14d_avg,un1170_count_30d_avg,un1987_count_7d_avg,un1987_count_14d_avg,un1987_count_30d_avg,total_gallons_7d_avg,total_gallons_14d_avg,total_gallons_30d_avg,un1170_gallons_7d_avg,un1170_gallons_14d_avg,un1170_gallons_30d_avg,un1987_gallons_7d_avg,un1987_gallons_14d_avg,un1987_gallons_30d_avg,total_barrels_7d_avg,total_barrels_14d_avg,total_barrels_30d_avg,un1170_barrels_7d_avg,un1170_barrels_14d_avg,un1170_barrels_30d_avg,un1987_barrels_7d_avg,un1987_barrels_14d_avg,un1987_barrels_30d_avg
2025-06-01,456,1,6,454,14007594.0,170082.0,13837512.0,333514.14,4049.57,329464.57,456.0,456.0,456.0,6.0,6.0,6.0,454.0,454.0,454.0,14007594.0,14007594.0,14007594.0,170082.0,170082.0,170082.0,13837512.0,13837512.0,13837512.0,333514.14,333514.14,333514.14,4049.57,4049.57,4049.57,329464.57,329464.57,329464.57
2025-06-02,297,0,6,294,9126749.0,176660.0,8950089.0,217303.55,4206.19,213097.36,376.5,376.5,376.5,6.0,6.0,6.0,374.0,374.0,374.0,11567171.5,11567171.5,11567171.5,173371.0,173371.0,173371.0,11393800.5,11393800.5,11393800.5,275408.84,275408.84,275408.84,4127.88,4127.88,4127.88,271280.96,271280.96,271280.96
2025-06-03,252,8,10,245,7777105.0,305850.0,7471255.0,185169.17,7282.14,177887.02,335.0,335.0,335.0,7.33,7.33,7.33,331.0,331.0,331.0,10303816.0,10303816.0,10303816.0,217530.67,217530.67,217530.67,10086285.33,10086285.33,10086285.33,245328.95,245328.95,245328.95,5179.3,5179.3,5179.3,240149.65,240149.65,240149.65
2025-06-04,356,1,8,351,10928884.0,235568.0,10693316.0,260211.52,5608.76,254602.76,340.25,340.25,340.25,7.5,7.5,7.5,336.0,336.0,336.0,10460083.0,10460083.0,10460083.0,222040.0,222040.0,222040.0,10238043.0,10238043.0,10238043.0,249049.6,249049.6,249049.6,5286.66,5286.66,5286.66,243762.93,243762.93,243762.93
2025-06-05,308,1,6,305,9480838.0,182090.0,9298748.0,225734.24,4335.48,221398.76,333.8,333.8,333.8,7.2,7.2,7.2,329.8,329.8,329.8,10264234.0,10264234.0,10264234.0,214050.0,214050.0,214050.0,10050184.0,10050184.0,10050184.0,244386.52,244386.52,244386.52,5096.43,5096.43,5096.43,239290.09,239290.09,239290.09
2025-06-06,222,15,20,206,6770964.0,498748.0,6272216.0,161213.43,11874.95,149338.48,315.17,315.17,315.17,9.33,9.33,9.33,309.17,309.17,309.17,9682022.33,9682022.33,9682022.33,261499.67,261499.67,261499.67,9420522.67,9420522.67,9420522.67,230524.34,230524.34,230524.34,6226.18,6226.18,6226.18,224298.16,224298.16,224298.16
2025-06-07,462,29,31,435,14148974.0,919580.0,13229394.0,336880.33,21894.76,314985.57,336.14,336.14,336.14,12.43,12.43,12.43,327.14,327.14,327.14,10320158.29,10320158.29,10320158.29,355511.14,355511.14,355511.14,9964647.14,9964647.14,9964647.14,245718.05,245718.05,245718.05,8464.55,8464.55,8464.55,237253.5,237253.5,237253.5
2025-06-08,475,2,3,476,14515412.0,89400.0,14426012.0,345605.05,2128.57,343476.48,338.86,353.5,353.5,12.0,11.25,11.25,330.29,345.75,345.75,10392703.71,10844565.0,10844565.0,343985.14,322247.25,322247.25,10048718.57,10522317.75,10522317.75,247445.33,258203.93,258203.93,8190.12,7672.55,7672.55,239255.2,250531.38,250531.38
2025-06-09,274,29,97,181,8402474.0,2925103.0,5477371.0,200058.9,69645.31,130413.6,335.57,344.67,344.67,25.0,20.78,20.78,314.14,327.44,327.44,10289235.86,10573221.56,10573221.56,736619.86,611453.44,611453.44,9552616.0,9961768.11,9961768.11,244981.81,251743.37,251743.37,17538.57,14558.41,14558.41,227443.24,237184.96,237184.96
2025-06-10,461,9,15,449,14086463.0,456050.0,13630413.0,335391.98,10858.33,324533.64,365.43,356.3,356.3,25.71,20.2,20.2,343.29,339.6,339.6,11190572.71,10924545.7,10924545.7,758077.0,595913.1,595913.1,10432495.71,10328632.6,10328632.6,266442.21,260108.23,260108.23,18049.45,14188.41,14188.41,248392.76,245919.82,245919.82
