car_id,un_code,placard,is_filled,train_type,detection_time,sensor_name,sighting_id,barrels
ETHX0000100180,1987,UN1987,False,manifest,2025-09-13 08:48:30.574000+00:00,"Crabb, TX",3723643,714
NATX0000284181,1170,UN1170,False,manifest,2025-09-14 03:35:07.597000+00:00,"Crabb, TX",3727741,714
NATX0000284096,1170,UN1170,False,manifest,2025-09-14 03:35:07.597000+00:00,"Crabb, TX",3727741,714
GATX0000201780,1170,UN1170,False,manifest,2025-09-14 03:35:07.597000+00:00,"Crabb, TX",3727741,714
CBTX0000736835,1987,UN1987,False,manifest,2025-09-16 05:19:46.761000+00:00,"Crabb, TX",3738338,714
CBTX0000736806,1987,UN1987,False,manifest,2025-09-16 05:19:46.761000+00:00,"Crabb, TX",3738338,714
CBTX0000737055,1987,UN1987,False,manifest,2025-09-16 05:19:46.761000+00:00,"Crabb, TX",3738338,714
WFRX0000160419,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TCBX0000305358,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TILX0000360143,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TILX0000362698,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TCBX0000305411,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TCBX0000305379,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TILX0000363108,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TILX0000360160,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
WFRX0000160512,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TCBX0000305439,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TCBX0000305412,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TCBX0000305402,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TILX0000199314,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TILX0000360207,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
WFRX0000160481,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TCBX0000305289,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
MULX0000702612,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
NOID_3744661_66,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TILX0000362574,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
TCBX0000305381,1170,UN1170,False,manifest,2025-09-17 09:07:14.366000+00:00,"Crabb, TX",3744661,714
CGTX0000030731,1170,UN1170,False,manifest,2025-09-18 16:26:43.614000+00:00,"Crabb, TX",3752166,714
TILX0000199813,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
TILX0000360121,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
TILX0000360991,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
SHQX0000008903,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
TILX0000360303,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
MULX0000702572,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
WFRX0000160441,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
WFRX0000160608,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
TILX0000363088,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
TCBX0000305333,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
MULX0000702636,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
WFRX0000160594,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
TILX0000363098,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
MULX0000702556,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
TILX0000360166,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
TILX0000361094,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
WFRX0000160492,1170,UN1170,False,manifest,2025-09-20 13:04:19.111000+00:00,"Crabb, TX",3762561,714
NOID_3766456_62,1170,UN1170,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
TILX0000195364,1170,UN1170,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
TILX0000350002,1170,UN1170,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
CBTX0000738242,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
SHQX0000071170,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
GATX0000226097,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
SHQX0000010410,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
GBRX0000712803,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
UTLX0000250098,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
NOID_3766456_72,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
UTLX0000250000,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
UTLX0000250007,1987,UN1987,False,manifest,2025-09-21 06:23:06.498000+00:00,"Crabb, TX",3766456,714
