car_id,detection_time,date,direction,sensor
PROX0000044995,2025-11-15T01:59:57.129Z,2025-11-15,Southbound,"Kevin, MT"
CTCX0000732043,2025-11-15T01:59:57.129Z,2025-11-15,Southbound,"Kevin, MT"
CTCX0000303129,2025-11-15T01:59:57.129Z,2025-11-15,Southbound,"Kevin, MT"
TILX0000355457,2025-11-15T01:59:57.129Z,2025-11-15,Southbound,"Kevin, MT"
CTCX0000730052,2025-11-15T06:32:40.867Z,2025-11-15,Eastbound,"Waldeck, SK"
PROX0000045256,2025-11-15T06:32:40.867Z,2025-11-15,Eastbound,"Waldeck, SK"
UTLX0000212879,2025-11-15T06:32:40.867Z,2025-11-15,Eastbound,"Waldeck, SK"
TILX0000355498,2025-11-15T06:32:40.867Z,2025-11-15,Eastbound,"Waldeck, SK"
TILX0000355437,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
NATX0000303114,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
GATX0000214403,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
PROX0000044745,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
GATX0000214495,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
CTCX0000300561,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
NATX0000303063,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
PROX0000048652,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
NATX0000303010,2025-11-15T10:57:33.869Z,2025-11-15,Westbound,"Brooks, AB"
TIMX0000350034,2025-11-15T12:44:36.797Z,2025-11-15,Eastbound,"Waldeck, SK"
PROX0000048661,2025-11-15T20:59:31.099Z,2025-11-15,Westbound,"Coalhurst, AB"
CTCX0000730789,2025-11-16T01:38:04.831Z,2025-11-16,Southbound,"Kevin, MT"
PROX0000045243,2025-11-16T01:38:04.831Z,2025-11-16,Southbound,"Kevin, MT"
NONE,2025-11-16T03:53:27.481Z,2025-11-16,Eastbound,"Waldeck, SK"
PROX0000044714,2025-11-16T05:38:48.161Z,2025-11-16,Eastbound,"Waldeck, SK"
NATX0000303074,2025-11-16T05:38:48.161Z,2025-11-16,Eastbound,"Waldeck, SK"
CTCX0000732664,2025-11-16T05:38:48.161Z,2025-11-16,Eastbound,"Waldeck, SK"
PROX0000048726,2025-11-16T10:13:22.342Z,2025-11-16,Eastbound,"Waldeck, SK"
CTCX0000300548,2025-11-16T10:13:22.342Z,2025-11-16,Eastbound,"Waldeck, SK"
CTCX0000732653,2025-11-16T11:51:33.702Z,2025-11-16,Eastbound,"Waldeck, SK"
PROX0000048710,2025-11-16T15:26:22.581Z,2025-11-16,Westbound,"Brooks, AB"
CTCX0000731836,2025-11-16T15:26:22.581Z,2025-11-16,Westbound,"Brooks, AB"
PROX0000047300,2025-11-16T15:26:22.581Z,2025-11-16,Westbound,"Brooks, AB"
TILX0000355543,2025-11-16T15:26:22.581Z,2025-11-16,Westbound,"Brooks, AB"
