date,region,car_count,filled_count,un1170_count,un1987_count,total_gallons,un1170_gallons,un1987_gallons,total_barrels,un1170_barrels,un1987_barrels,car_count_7d_avg,car_count_14d_avg,car_count_30d_avg,un1170_count_7d_avg,un1170_count_14d_avg,un1170_count_30d_avg,un1987_count_7d_avg,un1987_count_14d_avg,un1987_count_30d_avg,total_gallons_7d_avg,total_gallons_14d_avg,total_gallons_30d_avg,un1170_gallons_7d_avg,un1170_gallons_14d_avg,un1170_gallons_30d_avg,un1987_gallons_7d_avg,un1987_gallons_14d_avg,un1987_gallons_30d_avg,total_barrels_7d_avg,total_barrels_14d_avg,total_barrels_30d_avg,un1170_barrels_7d_avg,un1170_barrels_14d_avg,un1170_barrels_30d_avg,un1987_barrels_7d_avg,un1987_barrels_14d_avg,un1987_barrels_30d_avg,region_display
2025-06-01,Arrived,78,0,0,79,2405270.0,0.0,2405270.0,57268.33,0.0,57268.33,78.0,78.0,78.0,0.0,0.0,0.0,79.0,79.0,79.0,2405270.0,2405270.0,2405270.0,0.0,0.0,0.0,2405270.0,2405270.0,2405270.0,57268.33,57268.33,57268.33,0.0,0.0,0.0,57268.33,57268.33,57268.33,Arrived
2025-06-02,Arrived,95,0,0,95,2894280.0,0.0,2894280.0,68911.43,0.0,68911.43,86.5,86.5,86.5,0.0,0.0,0.0,87.0,87.0,87.0,2649775.0,2649775.0,2649775.0,0.0,0.0,0.0,2649775.0,2649775.0,2649775.0,63089.88,63089.88,63089.88,0.0,0.0,0.0,63089.88,63089.88,63089.88,Arrived
2025-06-04,Arrived,242,1,3,240,7409321.0,89340.0,7319981.0,176412.4,2127.14,174285.26,138.33,138.33,138.33,1.0,1.0,1.0,138.0,138.0,138.0,4236290.33,4236290.33,4236290.33,29780.0,29780.0,29780.0,4206510.33,4206510.33,4206510.33,100864.05,100864.05,100864.05,709.05,709.05,709.05,100155.01,100155.01,100155.01,Arrived
2025-06-05,Arrived,129,0,3,127,3956481.0,90820.0,3865661.0,94201.93,2162.38,92039.55,136.0,136.0,136.0,1.5,1.5,1.5,135.25,135.25,135.25,4166338.0,4166338.0,4166338.0,45040.0,45040.0,45040.0,4121298.0,4121298.0,4121298.0,99198.52,99198.52,99198.52,1072.38,1072.38,1072.38,98126.14,98126.14,98126.14,Arrived
2025-06-06,Arrived,50,2,2,49,1556465.0,60090.0,1496375.0,37058.69,1430.71,35627.98,118.8,118.8,118.8,1.6,1.6,1.6,118.0,118.0,118.0,3644363.4,3644363.4,3644363.4,48050.0,48050.0,48050.0,3596313.4,3596313.4,3596313.4,86770.56,86770.56,86770.56,1144.05,1144.05,1144.05,85626.51,85626.51,85626.51,Arrived
2025-06-07,Arrived,233,7,8,226,7140187.0,234460.0,6905727.0,170004.45,5582.38,164422.07,137.83,137.83,137.83,2.67,2.67,2.67,136.0,136.0,136.0,4227000.67,4227000.67,4227000.67,79118.33,79118.33,79118.33,4147882.33,4147882.33,4147882.33,100642.87,100642.87,100642.87,1883.77,1883.77,1883.77,98759.1,98759.1,98759.1,Arrived
2025-06-08,Arrived,94,0,0,95,2887328.0,0.0,2887328.0,68745.9,0.0,68745.9,131.57,131.57,131.57,2.29,2.29,2.29,130.14,130.14,130.14,4035618.86,4035618.86,4035618.86,67815.71,67815.71,67815.71,3967803.14,3967803.14,3967803.14,96086.16,96086.16,96086.16,1614.66,1614.66,1614.66,94471.5,94471.5,94471.5,Arrived
2025-06-09,Arrived,119,0,0,120,3657023.0,0.0,3657023.0,87071.98,0.0,87071.98,137.43,130.0,130.0,2.29,2.0,2.0,136.0,128.88,128.88,4214440.71,3988294.38,3988294.38,67815.71,59338.75,59338.75,4146625.0,3928955.62,3928955.62,100343.83,94959.39,94959.39,1614.66,1412.83,1412.83,98729.17,93546.56,93546.56,Arrived
2025-06-10,Arrived,144,7,9,136,4395686.0,274240.0,4121446.0,104659.19,6529.52,98129.67,144.43,131.56,131.56,3.57,2.78,2.78,141.86,129.67,129.67,4428927.29,4033560.11,4033560.11,106992.86,83216.67,83216.67,4321934.43,3950343.44,3950343.44,105450.65,96037.14,96037.14,2547.45,1981.35,1981.35,102903.2,94055.8,94055.8,Arrived
2025-06-11,Arrived,1,0,0,1,30150.0,0.0,30150.0,717.86,0.0,717.86,110.0,118.5,118.5,3.14,2.5,2.5,107.71,116.8,116.8,3374760.0,3633219.1,3633219.1,94230.0,74895.0,74895.0,3280530.0,3558324.1,3558324.1,80351.43,86505.22,86505.22,2243.57,1783.21,1783.21,78107.86,84722.0,84722.0,Arrived
