date,car_count,filled_count,un1170_count,un1987_count,total_gallons,un1170_gallons,un1987_gallons,total_barrels,un1170_barrels,un1987_barrels,car_count_7d_avg,car_count_14d_avg,car_count_30d_avg,un1170_count_7d_avg,un1170_count_14d_avg,un1170_count_30d_avg,un1987_count_7d_avg,un1987_count_14d_avg,un1987_count_30d_avg,total_gallons_7d_avg,total_gallons_14d_avg,total_gallons_30d_avg,un1170_gallons_7d_avg,un1170_gallons_14d_avg,un1170_gallons_30d_avg,un1987_gallons_7d_avg,un1987_gallons_14d_avg,un1987_gallons_30d_avg,total_barrels_7d_avg,total_barrels_14d_avg,total_barrels_30d_avg,un1170_barrels_7d_avg,un1170_barrels_14d_avg,un1170_barrels_30d_avg,un1987_barrels_7d_avg,un1987_barrels_14d_avg,un1987_barrels_30d_avg
2025-06-01,456,1,6,454,14007594.0,170082.0,13837512.0,333514.14,4049.57,329464.57,456.0,456.0,456.0,6.0,6.0,6.0,454.0,454.0,454.0,14007594.0,14007594.0,14007594.0,170082.0,170082.0,170082.0,13837512.0,13837512.0,13837512.0,333514.14,333514.14,333514.14,4049.57,4049.57,4049.57,329464.57,329464.57,329464.57
2025-06-02,297,0,6,294,9126749.0,176660.0,8950089.0,217303.55,4206.19,213097.36,376.5,376.5,376.5,6.0,6.0,6.0,374.0,374.0,374.0,11567171.5,11567171.5,11567171.5,173371.0,173371.0,173371.0,11393800.5,11393800.5,11393800.5,275408.84,275408.84,275408.84,4127.88,4127.88,4127.88,271280.96,271280.96,271280.96
2025-06-03,252,9,11,244,7777105.0,335850.0,7441255.0,185169.17,7996.43,177172.74,335.0,335.0,335.0,7.67,7.67,7.67,330.67,330.67,330.67,10303816.0,10303816.0,10303816.0,227530.67,227530.67,227530.67,10076285.33,10076285.33,10076285.33,245328.95,245328.95,245328.95,5417.4,5417.4,5417.4,239911.56,239911.56,239911.56
2025-06-04,356,1,8,351,10928884.0,235568.0,10693316.0,260211.52,5608.76,254602.76,340.25,340.25,340.25,7.75,7.75,7.75,335.75,335.75,335.75,10460083.0,10460083.0,10460083.0,229540.0,229540.0,229540.0,10230543.0,10230543.0,10230543.0,249049.6,249049.6,249049.6,5465.24,5465.24,5465.24,243584.36,243584.36,243584.36
2025-06-05,308,1,6,305,9480838.0,182090.0,9298748.0,225734.24,4335.48,221398.76,333.8,333.8,333.8,7.4,7.4,7.4,329.6,329.6,329.6,10264234.0,10264234.0,10264234.0,220050.0,220050.0,220050.0,10044184.0,10044184.0,10044184.0,244386.52,244386.52,244386.52,5239.29,5239.29,5239.29,239147.24,239147.24,239147.24
2025-06-06,222,15,20,206,6770964.0,498748.0,6272216.0,161213.43,11874.95,149338.48,315.17,315.17,315.17,9.5,9.5,9.5,309.0,309.0,309.0,9682022.33,9682022.33,9682022.33,266499.67,266499.67,266499.67,9415522.67,9415522.67,9415522.67,230524.34,230524.34,230524.34,6345.23,6345.23,6345.23,224179.11,224179.11,224179.11
2025-06-07,462,29,32,434,14148974.0,949580.0,13199394.0,336880.33,22609.05,314271.29,336.14,336.14,336.14,12.71,12.71,12.71,326.86,326.86,326.86,10320158.29,10320158.29,10320158.29,364082.57,364082.57,364082.57,9956075.71,9956075.71,9956075.71,245718.05,245718.05,245718.05,8668.63,8668.63,8668.63,237049.42,237049.42,237049.42
2025-06-08,475,2,3,476,14515412.0,89400.0,14426012.0,345605.05,2128.57,343476.48,338.86,353.5,353.5,12.29,11.5,11.5,330.0,345.5,345.5,10392703.71,10844565.0,10844565.0,352556.57,329747.25,329747.25,10040147.14,10514817.75,10514817.75,247445.33,258203.93,258203.93,8394.2,7851.12,7851.12,239051.12,250352.8,250352.8
2025-06-09,274,29,97,181,8402474.0,2925103.0,5477371.0,200058.9,69645.31,130413.6,335.57,344.67,344.67,25.29,21.0,21.0,313.86,327.22,327.22,10289235.86,10573221.56,10573221.56,745191.29,618120.11,618120.11,9544044.57,9955101.44,9955101.44,244981.81,251743.37,251743.37,17742.65,14717.15,14717.15,227239.16,237026.23,237026.23
2025-06-10,461,9,15,449,14086463.0,456050.0,13630413.0,335391.98,10858.33,324533.64,365.43,356.3,356.3,25.86,20.4,20.4,343.14,339.4,339.4,11190572.71,10924545.7,10924545.7,762362.71,601913.1,601913.1,10428210.0,10322632.6,10322632.6,266442.21,260108.23,260108.23,18151.49,14331.26,14331.26,248290.72,245776.97,245776.97
